source_zip,filename,filename_pii,pdf_doi,pdf_title,text_layers
marine antifouling.zip,1-s2.0-S030094402400153X-main.pdf,S030094402400153X,10.1016/j.porgcoat.2024.108361,Progress in Organic Coatings 190 (2024) 108361,1
marine antifouling.zip,1-s2.0-S2213343720302979-main.pdf,S2213343720302979,10.1016/j.jece.2020.103949,Contents lists available at ScienceDirect,1
marine antifouling.zip,1.pdf,,10.1016/j.marpolbul.2023.115524,Marine Pollution Bulletin 195 (2023) 115524,1
marine antifouling.zip,10.pdf,,10.1016/j.mtchem.2020.100294,Novel marine antifouling coatings inspired by corals,1
marine antifouling.zip,100.pdf,,10.1016/j.memsci.2013.03.060,Attachment of silver nanoparticles (AgNPs) onto thin-ﬁlm composite (TFC),1
marine antifouling.zip,101.pdf,,10.1039/d1nj03158a,"15170 |  New J. Chem., 2021, 45, 15170–15179 This journal is © The Royal Society of Chemistry and the Centre National de la Recherche Scientifique 2021",1
marine antifouling.zip,11.pdf,,10.1016/j.ijome.2017.08.006,Setting an agenda for biofouling research for the marine,1
marine antifouling.zip,111111.pdf,,,,0
marine antifouling.zip,112.pdf,,10.1021/acs.langmuir.9b03926,Silicone-Based Fouling-Release Coatings for Marine Antifouling,1
marine antifouling.zip,114.pdf,,10.1021/acsnano.8b02293,The Anti-Biofouling Properties of,1
marine antifouling.zip,115.pdf,,10.1007/s10295-014-1412-9,J Ind Microbiol Biotechnol (2014) 41:741–748,1
marine antifouling.zip,116.pdf,,10.1021/acs.langmuir.3c00986,Antifouling Slippery Surface against Marine Biofouling,1
marine antifouling.zip,117.pdf,,10.1021/acsami.2c00172,Transition Metal Engineering of Molybdenum Disul ﬁde Nanozyme,1
marine antifouling.zip,118.pdf,,10.1021/ie502147t,Biodegradable Polyurethane Carrying Antifoulants for Inhibition of,1
marine antifouling.zip,119.pdf,,10.1021/am4054578,Marine Biofouling Resistance of Polyurethane with Biodegradation,1
marine antifouling.zip,12.pdf,,10.1016/j.cej.2024.149859,Chemical Engineering Journal 486 (2024) 149859,1
marine antifouling.zip,120.pdf,,10.1021/acs.langmuir.5b01720,Degradable Polymer with Protein Resistance in a Marine,1
marine antifouling.zip,121.pdf,,10.1021/acsami.5b07325,Poly(dimethylsiloxane)-Based Polyurethane with Chemically,1
marine antifouling.zip,122.pdf,,10.1021/acs.iecr.6b02917,Degradable Polymers for Marine Antibiofouling: Optimizing,1
marine antifouling.zip,123.pdf,,10.1021/acssuschemeng.7b01385,Environmentally Friendly Antifouling Coatings Based on,1
marine antifouling.zip,124.pdf,,10.1080/08927014.2013.776042,The Journal of Bioadhesion and Bioﬁlm Research,1
marine antifouling.zip,125.pdf,,10.1088/1742-6596/2094/2/022041,Conference Series,1
marine antifouling.zip,126.pdf,,,HEXADECYLTRIMETHYLAMMONIUM-SILVER-KAOLINITE AS A MARINE,1
marine antifouling.zip,127.pdf,,10.1038/ncomms9649,Extremely durable biofouling-resistant metallic,1
marine antifouling.zip,128.pdf,,10.1021/acssuschemeng.9b06917,“From the Nature for the Nature ”: An Eco-Friendly Antifouling,1
marine antifouling.zip,129.pdf,,10.1021/acs.accounts.2c00187,Degradable Vinyl Polymers for Combating Marine Biofouling,1
marine antifouling.zip,13.pdf,,10.1016/j.cej.2020.126870,Contents lists available atScienceDirect,1
marine antifouling.zip,130.pdf,,10.11933/j.issn.1007−9289.20181130002,天然产物基无铜自抛光防污涂料的制备与性能,1
marine antifouling.zip,131.pdf,,10.34133/research.0627,He et al. 2025 | https://doi.org/10.34133/research.0627 1,1
marine antifouling.zip,132.pdf,,10.1007/s10118-012-1158-7,"Chinese Journal of Polymer Science Vol. 30, No. 3, (2012), 337−342 Chinese Journal of Polymer Science",1
marine antifouling.zip,133.pdf,,10.1007/s10118-023-2936-0,"Chinese J. Polym. Sci. 2023, 41, 995–1001",1
marine antifouling.zip,134.pdf,,10.1007/s10118-025-3399-2,Chinese J. Polym. Sci.,1
marine antifouling.zip,135.pdf,,10.1007/s10853-022-07791-8,Review on formation of biofouling in the marine,1
marine antifouling.zip,136.pdf,,10.1007/s11356-021-18404-3,Anti‑barnacle biofouling coatings for the protection of marine vessels:,1
marine antifouling.zip,137.pdf,,10.1038/s41529-023-00370-5,REVIEW ARTICLE OPEN,1
marine antifouling.zip,138.pdf,,10.1038/s41589-024-01740-z,Nature Chemical Biology | Volume 20 | November 2024 | 1406–1419 1406,1
marine antifouling.zip,139.pdf,,10.1021/acsomega.0c00633,Anti-Biofouling Features of Eco-Friendly Oleamide −PDMS,1
marine antifouling.zip,14.pdf,,10.1016/j.colsurfb.2021.112003,Colloids and Surfaces B: Biointerfaces 207 (2021) 112003,1
marine antifouling.zip,140.pdf,,10.1002/smll.201503334,(1 of 9) 1503334,1
marine antifouling.zip,141.pdf,,10.1002/smll.202504187,RESEARCH ARTICLE,1
marine antifouling.zip,142.pdf,,10.1021/acsapm.3c00667,Development of a Robust Slippery Liquid-Infused Porous Surface,1
marine antifouling.zip,143.pdf,,10.1080/08927014.2011.611878,The Journal of Bioadhesion and Bioﬁlm Research,1
marine antifouling.zip,144.pdf,,10.1021/acsami.4c02070,High-Performance Polyurea Improved by Reactive Nanocluster for,1
marine antifouling.zip,145.pdf,,10.1021/mz500818c,Facile Synthesis of a Phosphorylcholine-Based Zwitterionic,1
marine antifouling.zip,146.pdf,,10.1021/acs.iecr.7b00557,Self-Cross-Linking Degradable Polymers for Antifouling Coatings,1
marine antifouling.zip,147.pdf,,10.1021/acsami.8b00962,Biodegradable Polymer with Hydrolysis-Induced Zwitterions for,1
marine antifouling.zip,148.pdf,,10.1021/acsapm.0c00356,Nanodiamond Reinforced Poly(dimethylsiloxane)-Based Polyurea,1
marine antifouling.zip,149.pdf,,10.1021/ma300291q,Hybrid Copolymerization of ε-Caprolactone and Methyl,1
marine antifouling.zip,15.pdf,,10.1016/j.memsci.2021.119895,0376-7388/© 2021 Elsevier B.V. All rights reserved.,1
marine antifouling.zip,150.pdf,,10.1021/jacs.3c04746,AnionicHybridCopolymerizationofSulfurwithAcrylate:Strategy,1
marine antifouling.zip,151.pdf,,10.1021/acsapm.9b00253,"Silicone Elastomer with Surface-Enriched, Nonleaching Amphiphilic",1
marine antifouling.zip,152.pdf,,10.1021/acsami.0c05403,Anti-Biofouling and Self-Cleaning Surfaces Featured with Magnetic,1
marine antifouling.zip,153.pdf,,10.1021/acsapm.3c00199,Surface-Enriched Amphiphilic Polysiloxane Coating with Superior,1
marine antifouling.zip,154.pdf,,10.1021/acs.iecr.5b01819,Inhibition of Marine Biofouling by Use of Degradable and,1
marine antifouling.zip,155.pdf,,10.1021/acs.langmuir.9b01740,Speciﬁc Ion E ﬀects on the Enzymatic Degradation of Polymeric,1
marine antifouling.zip,16.pdf,,10.1016/j.porgcoat.2024.108833,Eco-friendly covalently connected silicone hydrogel with negatively,1
marine antifouling.zip,17.pdf,,10.1016/j.porgcoat.2023.108094,Progress in Organic Coatings 187 (2024) 108094,1
marine antifouling.zip,18.pdf,,10.1016/j.porgcoat.2022.107243,Progress in Organic Coatings 174 (2023) 107243,1
marine antifouling.zip,19.pdf,,10.1016/j.porgcoat.2021.106141,Progress in Organic Coatings 153 (2021) 106141,1
marine antifouling.zip,2.pdf,,10.1016/j.cis.2022.102796,Advances in Colloid and Interface Science 310 (2022) 102796,1
marine antifouling.zip,20.pdf,,10.1016/j.colsurfa.2022.128313,Colloids and Surfaces A: Physicochemical and Engineering Aspects 639 (2022) 128313,1
marine antifouling.zip,22.pdf,,10.1002/advs.201900002,"1900002 (1 of 10) © 2019 The Authors. Published by WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim",1
marine antifouling.zip,23.pdf,,10.1002/adfm.201800596,FEATURE ARTICLE,1
marine antifouling.zip,25.pdf,,10.1039/c3tb20454e,Degradable polyurethane for marine anti-biofouling,1
marine antifouling.zip,26.pdf,,10.1016/j.porgcoat.2022.107350,Progress in Organic Coatings 175 (2023) 107350,1
marine antifouling.zip,27.pdf,,10.1016/j.porgcoat.2025.109177,Progress in Organic Coatings 203 (2025) 109177,1
marine antifouling.zip,28.pdf,,10.1016/j.colsurfb.2022.112392,Colloids and Surfaces B: Biointerfaces 213 (2022) 112392,1
marine antifouling.zip,3.pdf,,10.1016/j.porgcoat.2024.108656,Progress in Organic Coatings 195 (2024) 108656,1
