material_id,material_class,material_name,surface_energy_mN_m,water_contact_angle_deg,elastic_modulus_MPa,roughness_Ra_nm,coating_thickness_um,hydrophilicity_index,charge_density,crosslink_density,antifouling_efficiency_pct,fouling_release_pct,antibacterial_rate_pct,diatom_removal_pct,energy_angle_ratio,mech_surface_index,roughness_thickness_ratio,composite_potential,elastic_energy_product
SIL-001,silicone,PDMS标准涂层,22.0,108,2.5,15,200,0.1,0.05,0.6,72,85,45,78,0.2018348623853211,0.1252762968495368,7.499962500187499e-05,0.4590714285714286,34.785054261852174
SIL-002,silicone,PDMS+硅油改性,20.5,112,2.0,20,250,0.08,0.05,0.55,78,90,48,82,0.18141592920353983,0.08788898309344878,7.999968000128e-05,0.4519285714285715,28.99137802864845
SIL-003,silicone,氟硅改性弹性体,18.0,118,3.5,12,180,0.12,0.08,0.65,85,92,55,88,0.15126050420168066,0.1804892876131529,6.66662962983539e-05,0.5028571428571428,33.67491648096547
SIL-004,silicone,PDMS-PUa自修复,21.0,105,4.0,18,150,0.15,0.1,0.7,80,88,60,85,0.19811320754716982,0.24141568686511503,0.0001199992000053333,0.5012857142857142,42.0
SIL-005,silicone,硅氧烷-聚氨酯,24.0,100,8.0,25,200,0.18,0.12,0.75,75,82,50,76,0.2376237623762376,0.3955004239205195,0.00012499937500312498,0.49928571428571433,67.88225099390857
SIL-006,silicone,PDMS+PEGMA接枝,28.0,85,3.0,22,180,0.45,0.1,0.58,82,88,65,84,0.32558139534883723,0.6238324625039507,0.0001222215432136488,0.49357142857142855,48.49742261192856
SIL-007,silicone,PDMS+DFMA/PEGMA,23.0,98,2.8,16,200,0.35,0.08,0.62,88,93,70,90,0.23232323232323232,0.46725037335631897,7.999960000199999e-05,0.5111428571428571,38.486361220567474
SIL-008,silicone,羟基硅橡胶RTV,23.5,106,1.8,30,300,0.08,0.03,0.5,68,80,40,72,0.21962616822429906,0.08236955337449267,9.999966666777777e-05,0.41664285714285715,31.528558482747034
SIL-009,silicone,PDMS纳米复合,21.5,110,5.0,45,150,0.1,0.06,0.68,76,86,52,80,0.19369369369369369,0.1791759469228055,0.00029999800001333324,0.46671428571428575,48.07546151624548
SIL-010,silicone,硅凝胶杂化涂层,26.0,90,3.2,28,220,0.4,0.15,0.55,84,90,68,86,0.2857142857142857,0.5740338101157291,0.00012727214876296017,0.49450000000000005,46.51021393199562
