paperId,title,titleZh,authors,journal,year,doi,citationCount,abstract,url,source
814571980660408321,Antifouling Activities of Antagonistic Marine Bacterium Pseudomonas putida Associated with an Octopus,与章鱼相关的拮抗海洋细菌恶臭假单胞菌的防污活性,N. Viju; S. Satheesh; S. Mary Josephine Punitha,Proceedings of the National Academy of Sciences,2015,10.1007/s40011-015-0691-x,7,"Bacterial symbionts associated with an octopus were isolated and their intra and extracellular extracts were tested for the antagonistic activities against biofilm-forming bacteria. Among the three antagonistic bacterial symbionts, both intra and extracellular extracts of the bacterium, Pseudomonas putida exhibited strong antibacterial activity against biofilm bacteria. Results also showed that both intra and extracellular extracts of P. putida significantly reduced the biofilm formation on test",https://link.springer.com/article/10.1007/s40011-015-0691-x,paper-results-PaperSearchToFile_2.json
814583162423214081,Colonisation and succession of marine biofilm-dwelling ciliate assemblages on biocidal antifouling and fouling-release coatings in temperate Australia,澳大利亚温带地区杀生防污涂料和防污释放涂料上海洋生物膜纤毛虫群落的定殖与演替 ,Matthew G. Watson; Andrew J. Scardino; Liliana Zalizniak; Jeff Shimeta,Biofouling,2015,10.1080/08927014.2015.1105221,13,"Ciliate assemblages are often overlooked, but ubiquitous components of microbial biofilms which require a better understanding. Ciliate, diatom and bacterial colonisation were evaluated on two fouling-release (FR) coatings, viz . Intersleek 970 and Hempasil X3, and two biocidal antifouling (AF) coatings, viz . Intersmooth 360 and Interspeed 5640, in Port Phillip Bay, Australia. A total of 15 genera were identified during the 10 week deployment. Intersleek 970 displayed the most rapid fouling by ",https://www.tandfonline.com/doi/abs/10.1080/08927014.2015.1105221,paper-results-PaperSearchToFile_2.json
814653277210673154,Ecofriendly Antifouling Marine Coatings,生态友好型防污海洋涂料,Rosaria Ciriminna; Frank V. Bright; Mario Pagliaro,ACS Sustainable Chemistry & Engineering,2015,10.1021/sc500845n,124,"Foul release coatings were first used on vessels in the early 1990s, but despite early excitement about the technology, they have had a prolonged modest market share due to high cost and poorer performance when compared to biocidal marine coatings. Recently, these coatings are experiencing a renaissance. Accelerated progress based on nanochemistry has enabled the synthesis of ecofriendly coatings with improved foul release performance, and also antifouling properties. This study aims to provide ",https://pubs.acs.org/doi/10.1021/sc500845n,paper-results-PaperSearchToFile_1.json
814641980066758657,Fabrication of Liquid-Infused Surfaces Using Reactive Polymer Multilayers: Principles for Manipulating the Behaviors and Mobilities of Aqueous Fluids on Slippery Liquid Interfaces,利用反应性聚合物多层体制备 infused 液体表面：操纵润滑液体界面上水流体行为与迁移率的原理,Uttam Manna; David M. Lynn,Advanced Materials,2015,10.1002/adma.201500893,107,The design of slippery liquid-infused porous surfaces (SLIPS) using nanoporous and chemically reactive polymer multilayers is reported. This approach permits fabrication of slippery anti-fouling coatings on complex surfaces and provides new means to manipulate the mobilities of contacting aqueous fluids. The results expand the range of tools that can be used to manipulate the behaviors of SLIPS and open the door to new applications of this emerging class of soft materials. ,https://onlinelibrary.wiley.com/doi/10.1002/adma.201500893,paper-results-PaperSearchToFile_2.json
814601470266572801,Improved Antifouling Properties of Poly(Ether Sulfone) Membrane by Incorporating the Amphiphilic Comb Copolymer with Mixed Poly(Ethylene Glycol) and Poly(Dimethylsiloxane) Brushes,通过引入具有聚（乙二醇）和聚（二甲基硅氧烷）混合刷的两亲性梳状共聚物改善聚醚砜膜的抗污染性能,Fan Gao; Guangfa Zhang; Qinghua Zhang; Xiaoli Zhan; Fengqiu Chen,Industrial & Engineering Chemistry Research,2015,10.1021/acs.iecr.5b02864,50,"In this study, a novel amphiphilic comb copolymer P(poly(ethylene glycol) (PEG)-r-poly(dimethylsiloxane) (PDMS)) with mixed hydrophilic and low surface energy side chains was synthesized by the free radical polymerization method. The microstructure of the synthesized amphiphilic copolymers was characterized by Fourier transform infrared (FTIR) and the nuclear magnetic resonance proton spectra (1H NMR). The copolymers were blended with poly(ether sulfone) (PES) to fabricate low-fouling ultrafiltr",https://pubs.acs.org/doi/10.1021/acs.iecr.5b02864,paper-results-PaperSearchToFile_1.json
814641726248452097,Micro- and nanotechnologies in plankton research,浮游生物研究中的微纳技术,Javeed Shaikh Mohammed,Progress In Oceanography,2015,10.1016/j.pocean.2015.03.010,10,,https://www.sciencedirect.com/science/article/abs/pii/S0079661115000518,paper-results-PaperSearchToFile_1.json
814697623532339203,On the hydration of subnanometric antifouling organosilane adlayers: A molecular dynamics simulation,关于亚纳米级防污有机硅烷吸附层的水合作用：分子动力学模拟,Sonia Sheikh; Christophe Blaszykowski; Robert Nolan; Damien Thompson; Michael Thompson,Journal of Colloid and Interface Science,2015,10.1016/j.jcis.2014.09.025,29,,https://www.sciencedirect.com/science/article/abs/pii/S0021979714006742,paper-results-PaperSearchToFile_2.json
814627261712957440,Optimising the settlement and hatchery culture of Saccharina latissima (Phaeophyta) by manipulation of growth medium and substrate surface condition,通过调控生长培养基和基质表面条件优化海带（褐藻门）的采苗和孵化场养殖,Philip D. Kerrison; Michele S. Stanley; Maeve Kelly; Adrian MacLeod; Kenneth D. Black; Adam D. Hughes,Journal of Applied Phycology,2015,10.1007/s10811-015-0621-6,12,"The phaeophyte macroalga Saccharina latissima is gaining economic importance as an aquaculture crop. To decrease costs associated with the hatchery, the time required for meiospores to develop into sporophytes ready for outplanting must be minimised and survivorship maximised. The settlement and juvenile development of S. latissima was examined in a series of experimental manipulations. It was determined that (1) Meiospore settlement should be conducted in the dark in nutrient-enriched medium. (",https://link.springer.com/article/10.1007/s10811-015-0621-6,paper-results-PaperSearchToFile_2.json
814612120317460481,Perfluoropolyether/poly(ethylene glycol) triblock copolymers with controllable self-assembly behaviour for highly efficient anti-bacterial materials,,Jing Song; Qun Ye; Wang Ting Lee; Xiaobai Wang; Tao He; Kwok Wei Shah; Jianwei Xu,RSC Advances,2015,10.1039/C5RA08138F,13,Fluoropolymer PEG triblock copolymer antifouling anti-bacterial,,inline_search_new
814705472287277058,Rice and Butterfly Wing Effect Inspired Low Drag and Antifouling Surfaces: A Review,受水稻和蝴蝶翅膀效应启发的低阻力和防污表面：综述,Gregory D. Bixler; Bharat Bhushan,Critical Reviews in Solid State and Material Sciences,2015,10.1080/10408436.2014.917368,80,"In this article, a comprehensive overview of the reported rice and butterfly wing effect discovered by the authors is presented with the hope to attract and inspire others in the field. Living nature has inspired researchers for centuries to solve complex engineering challenges with much attention given to unique structures, materials, and surfaces. Such challenges include drag reducing and antifouling surfaces to save energy, lives, and money. Many flora and fauna exhibit low drag and antifouli",https://www.tandfonline.com/doi/abs/10.1080/10408436.2014.917368,paper-results-PaperSearchToFile_2.json
